s=2048, h=64, n=6, b=1, 0.0004444122314453125s
s=2048, h=256, n=16, b=1, 0.0010013580322265625s
s=2048, h=256, n=16, b=5, 0.0041196346282958984s
s=2048, h=256, n=16, b=10, 0.00629734992980957s
s=2048, h=256, n=20, b=1, 0.0019385814666748047s
s=2048, h=256, n=20, b=5, 0.004454851150512695s
s=2048, h=256, n=20, b=10, 0.008780956268310547s
s=2048, h=256, n=25, b=1, 0.0014503002166748047s
s=2048, h=256, n=25, b=5, 0.006528139114379883s
s=2048, h=256, n=25, b=10, 0.012630462646484375s
s=4096, h=64, n=6, b=1, 0.0005853176116943359s
s=4096, h=64, n=6, b=5, 0.001233816146850586s
s=4096, h=64, n=6, b=10, 0.002078533172607422s
s=4096, h=64, n=8, b=1, 0.0005586147308349609s
s=4096, h=64, n=8, b=5, 0.0014591217041015625s
s=4096, h=64, n=8, b=10, 0.0023391246795654297s
s=4096, h=64, n=12, b=1, 0.0006458759307861328s
s=4096, h=64, n=12, b=5, 0.002165555953979492s
s=4096, h=64, n=12, b=10, 0.0034067630767822266s
s=4096, h=64, n=16, b=1, 0.0007205009460449219s
s=4096, h=64, n=16, b=5, 0.0023317337036132812s
s=4096, h=64, n=16, b=10, 0.0037047863006591797s
s=4096, h=64, n=20, b=1, 0.0009527206420898438s
s=4096, h=64, n=20, b=5, 0.0031180381774902344s
s=4096, h=64, n=20, b=10, 0.005545616149902344s
s=4096, h=64, n=25, b=1, 0.001207590103149414s
s=4096, h=64, n=25, b=5, 0.005078554153442383s
s=4096, h=64, n=25, b=10, 0.009893417358398438s
s=4096, h=128, n=6, b=1, 0.0009374618530273438s
s=4096, h=128, n=6, b=5, 0.0019180774688720703s
s=4096, h=128, n=6, b=10, 0.0036101341247558594s
s=4096, h=128, n=8, b=1, 0.00072479248046875s
s=4096, h=128, n=8, b=5, 0.002681732177734375s
s=4096, h=128, n=8, b=10, 0.0032639503479003906s
s=4096, h=128, n=12, b=1, 0.0009999275207519531s
s=4096, h=128, n=12, b=5, 0.003470182418823242s
s=4096, h=128, n=12, b=10, 0.00631403923034668s
s=4096, h=128, n=16, b=1, 0.0011029243469238281s
s=4096, h=128, n=16, b=5, 0.004011869430541992s
s=4096, h=128, n=16, b=10, 0.00682377815246582s
s=4096, h=128, n=20, b=1, 0.0016727447509765625s
s=4096, h=128, n=20, b=5, 0.004880428314208984s
s=4096, h=128, n=20, b=10, 0.00938868522644043s
s=4096, h=128, n=25, b=1, 0.0015819072723388672s
s=4096, h=128, n=25, b=5, 0.0076105594635009766s
s=4096, h=128, n=25, b=10, 0.013976573944091797s
s=4096, h=256, n=6, b=1, 0.0016062259674072266s
s=4096, h=256, n=6, b=5, 0.003463268280029297s
s=4096, h=256, n=6, b=10, 0.006643772125244141s
s=4096, h=256, n=8, b=1, 0.001707315444946289s
s=4096, h=256, n=8, b=5, 0.0033326148986816406s
s=4096, h=256, n=8, b=10, 0.006221771240234375s
s=4096, h=256, n=12, b=1, 0.0019381046295166016s
s=4096, h=256, n=12, b=5, 0.006037473678588867s
s=4096, h=256, n=12, b=10, 0.011508703231811523s
s=4096, h=256, n=16, b=1, 0.0015985965728759766s
s=4096, h=256, n=16, b=5, 0.006690502166748047s
s=4096, h=256, n=16, b=10, 0.012928009033203125s
s=4096, h=256, n=20, b=1, 0.0019881725311279297s
s=4096, h=256, n=20, b=5, 0.009260177612304688s
s=4096, h=256, n=20, b=10, 0.017378807067871094s
s=4096, h=256, n=25, b=1, 0.0028319358825683594s
s=4096, h=256, n=25, b=5, 0.012999534606933594s
s=4096, h=256, n=25, b=10, 0.02562999725341797s
s=8192, h=64, n=6, b=1, 0.0011382102966308594s
s=8192, h=64, n=6, b=5, 0.0019528865814208984s
s=8192, h=64, n=6, b=10, 0.003658771514892578s
s=8192, h=64, n=8, b=1, 0.0008955001831054688s
s=8192, h=64, n=8, b=5, 0.0018835067749023438s
s=8192, h=64, n=8, b=10, 0.0035445690155029297s
s=8192, h=64, n=12, b=1, 0.0011305809020996094s
s=8192, h=64, n=12, b=5, 0.003972530364990234s
s=8192, h=64, n=12, b=10, 0.006608009338378906s
s=8192, h=64, n=16, b=1, 0.0011031627655029297s
s=8192, h=64, n=16, b=5, 0.0037374496459960938s
s=8192, h=64, n=16, b=10, 0.00740504264831543s
s=8192, h=64, n=20, b=1, 0.0013303756713867188s
s=8192, h=64, n=20, b=5, 0.005784511566162109s
s=8192, h=64, n=20, b=10, 0.010700225830078125s
s=8192, h=64, n=25, b=1, 0.002535104751586914s
s=8192, h=64, n=25, b=5, 0.009722232818603516s
s=8192, h=64, n=25, b=10, 0.019971847534179688s
s=8192, h=128, n=6, b=1, 0.0012993812561035156s
s=8192, h=128, n=6, b=5, 0.003540515899658203s
s=8192, h=128, n=6, b=10, 0.006812572479248047s
s=8192, h=128, n=8, b=1, 0.0012211799621582031s
s=8192, h=128, n=8, b=5, 0.0036230087280273438s
s=8192, h=128, n=8, b=10, 0.006630897521972656s
s=8192, h=128, n=12, b=1, 0.0016908645629882812s
s=8192, h=128, n=12, b=5, 0.006516695022583008s
s=8192, h=128, n=12, b=10, 0.011718034744262695s
s=8192, h=128, n=16, b=1, 0.0018362998962402344s
s=8192, h=128, n=16, b=5, 0.006864309310913086s
s=8192, h=128, n=16, b=10, 0.013424873352050781s
s=8192, h=128, n=20, b=1, 0.0028352737426757812s
s=8192, h=128, n=20, b=5, 0.009881734848022461s
s=8192, h=128, n=20, b=10, 0.018467187881469727s
s=8192, h=128, n=25, b=1, 0.003100156784057617s
s=8192, h=128, n=25, b=5, 0.014475107192993164s
s=8192, h=128, n=25, b=10, 0.02788543701171875s
s=8192, h=256, n=6, b=1, 0.0028007030487060547s
s=8192, h=256, n=6, b=5, 0.006215810775756836s
s=8192, h=256, n=6, b=10, 0.011893272399902344s
s=8192, h=256, n=8, b=1, 0.0023496150970458984s
s=8192, h=256, n=8, b=5, 0.006548404693603516s
s=8192, h=256, n=8, b=10, 0.012658119201660156s
s=8192, h=256, n=12, b=1, 0.0025451183319091797s
s=8192, h=256, n=12, b=5, 0.011446237564086914s
s=8192, h=256, n=12, b=10, 0.02262568473815918s
s=8192, h=256, n=16, b=1, 0.002950429916381836s
s=8192, h=256, n=16, b=5, 0.012499094009399414s
s=8192, h=256, n=16, b=10, 0.024503707885742188s
s=8192, h=256, n=20, b=1, 0.0037369728088378906s
s=8192, h=256, n=20, b=5, 0.017084598541259766s
s=8192, h=256, n=20, b=10, 0.0337376594543457s
s=8192, h=256, n=25, b=1, 0.004988431930541992s
s=8192, h=256, n=25, b=5, 0.02579021453857422s
s=8192, h=256, n=25, b=10, 0.05222058296203613s
s=16384, h=64, n=6, b=1, 0.0016171932220458984s
s=16384, h=64, n=6, b=5, 0.0035877227783203125s
s=16384, h=64, n=6, b=10, 0.007208585739135742s
s=16384, h=64, n=8, b=1, 0.0014202594757080078s
s=16384, h=64, n=8, b=5, 0.0035254955291748047s
s=16384, h=64, n=8, b=10, 0.006761312484741211s
s=16384, h=64, n=12, b=1, 0.0017139911651611328s
s=16384, h=64, n=12, b=5, 0.006743431091308594s
s=16384, h=64, n=12, b=10, 0.01227426528930664s
s=16384, h=64, n=16, b=1, 0.0018630027770996094s
s=16384, h=64, n=16, b=5, 0.007714271545410156s
s=16384, h=64, n=16, b=10, 0.014287233352661133s
s=16384, h=64, n=20, b=1, 0.002494335174560547s
s=16384, h=64, n=20, b=5, 0.010351896286010742s
s=16384, h=64, n=20, b=10, 0.020180702209472656s
s=16384, h=64, n=25, b=1, 0.0035507678985595703s
s=16384, h=64, n=25, b=5, 0.019564390182495117s
s=16384, h=64, n=25, b=10, 0.04051685333251953s
s=16384, h=128, n=6, b=1, 0.0022017955780029297s
s=16384, h=128, n=6, b=5, 0.006810426712036133s
s=16384, h=128, n=6, b=10, 0.012196540832519531s
s=16384, h=128, n=8, b=1, 0.0018987655639648438s
s=16384, h=128, n=8, b=5, 0.006782054901123047s
s=16384, h=128, n=8, b=10, 0.011953115463256836s
s=16384, h=128, n=12, b=1, 0.0029754638671875s
s=16384, h=128, n=12, b=5, 0.011764049530029297s
s=16384, h=128, n=12, b=10, 0.02310013771057129s
s=16384, h=128, n=16, b=1, 0.003018617630004883s
s=16384, h=128, n=16, b=5, 0.012809514999389648s
s=16384, h=128, n=16, b=10, 0.025994062423706055s
s=16384, h=128, n=20, b=1, 0.0046422481536865234s
s=16384, h=128, n=20, b=5, 0.017949342727661133s
s=16384, h=128, n=20, b=10, 0.035600900650024414s
s=16384, h=128, n=25, b=1, 0.005385875701904297s
s=16384, h=128, n=25, b=5, 0.02750396728515625s
s=16384, h=128, n=25, b=10, 0.056740760803222656s
s=16384, h=256, n=6, b=1, 0.004058837890625s
s=16384, h=256, n=6, b=5, 0.012226343154907227s
s=16384, h=256, n=6, b=10, 0.02394556999206543s
s=16384, h=256, n=8, b=1, 0.003205537796020508s
s=16384, h=256, n=8, b=5, 0.012426614761352539s
s=16384, h=256, n=8, b=10, 0.023967742919921875s
s=16384, h=256, n=12, b=1, 0.004738569259643555s
s=16384, h=256, n=12, b=5, 0.0221707820892334s
s=16384, h=256, n=12, b=10, 0.04477286338806152s
s=16384, h=256, n=16, b=1, 0.0054779052734375s
s=16384, h=256, n=16, b=5, 0.024788379669189453s
s=16384, h=256, n=16, b=10, 0.05007147789001465s
s=16384, h=256, n=20, b=1, 0.007590293884277344s
s=16384, h=256, n=20, b=5, 0.0340580940246582s
